State,Constituency,Work Category,Work ID A,Description A,MP A,Work ID B,Description B,MP B,Similarity,Match Strength
Bihar,Sitting Rajya Sabha,Normal/Others,WS/MP18342/2025-2026/230653,"Construction of a community building (large hall) with a borewell hand pump, one toilet, and two urinals on the available government land in Baharampur Panchayat under Raghopur Block.",Shri Sanjay Yadav (2024-30),WS/MP18342/2026-2027/230658,"Construction of a community building (large hall) with a borewell pump, one toilet, and two urinals on the available government land in Chandpura Panchayat under Raghopur Block.",Shri Sanjay Yadav (2024-30),92.1,High
Bihar,Sitting Rajya Sabha,Normal/Others,WS/MP18342/2025-2026/230653,"Construction of a community building (large hall) with a borewell hand pump, one toilet, and two urinals on the available government land in Baharampur Panchayat under Raghopur Block.",Shri Sanjay Yadav (2024-30),WS/MP18342/2025-2026/230654,"Construction of a community building (large hall) with a borewell hand pump, one toilet, and two urinals on the available government land in the Saidabad Panchayat under the Raghopur Block.",Shri Sanjay Yadav (2024-30),93.0,High
Bihar,Sitting Rajya Sabha,Normal/Others,WS/MP18342/2025-2026/230665,"Construction of a community building (large hall) with a borewell pump, one toilet, and two urinals on the available government land in Chaksinghar Panchayat under Raghopur Block.",Shri Sanjay Yadav (2024-30),WS/MP18342/2026-2027/230658,"Construction of a community building (large hall) with a borewell pump, one toilet, and two urinals on the available government land in Chandpura Panchayat under Raghopur Block.",Shri Sanjay Yadav (2024-30),94.5,High
Bihar,Sitting Rajya Sabha,Normal/Others,WS/MP18342/2025-2026/230664,"Construction of a community building (large hall) along with a borewell, a toilet, and two urinals on the available government land in Judabanpur Barari Panchayat under the Raghopur block.",Shri Sanjay Yadav (2024-30),WS/MP18342/2025-2026/230663,"Construction of a community building (large hall) along with a borewell, a toilet, and two urinals on the available government land in the Judabanpur Karari Panchayat under the Raghopur block.",Shri Sanjay Yadav (2024-30),95.2,Very High
Bihar,Sitting Rajya Sabha,Normal/Others,WS/MP18342/2025-2026/230845,Construction of a twelve-foot high roofed platform with a hand pump on the available government land in Baharampur Panchayat under Raghopur Block.,Shri Sanjay Yadav (2024-30),WS/MP18342/2025-2026/230843,Construction of a twelve-foot high roofed platform with a hand pump on the available government land in Rustampur Panchayat under Raghopur Block.,Shri Sanjay Yadav (2024-30),94.1,High
Bihar,Sitting Rajya Sabha,Normal/Others,WS/MP18342/2025-2026/230843,Construction of a twelve-foot high roofed platform with a hand pump on the available government land in Rustampur Panchayat under Raghopur Block.,Shri Sanjay Yadav (2024-30),WS/MP18342/2025-2026/230846,Construction of a twelve-foot high roofed platform with a hand pump on the available government land in Saidabad Panchayat under Raghopur Block.,Shri Sanjay Yadav (2024-30),92.8,High
Bihar,Sitting Rajya Sabha,Normal/Others,WS/MP18342/2026-2027/230850,Construction of a twelve feet high roofed platform with a hand pump on the available government land in Chandpura Panchayat under Raghopur Block.,Shri Sanjay Yadav (2024-30),WS/MP18342/2025-2026/230844,Construction of a twelve feet high roofed platform with a hand pump on the available government land in the Malikpur Panchayat under the Raghopur Block.,Shri Sanjay Yadav (2024-30),92.5,High
Bihar,Sitting Rajya Sabha,Normal/Others,WS/MP18342/2025-2026/230845,Construction of a twelve-foot high roofed platform with a hand pump on the available government land in Baharampur Panchayat under Raghopur Block.,Shri Sanjay Yadav (2024-30),WS/MP18342/2025-2026/230846,Construction of a twelve-foot high roofed platform with a hand pump on the available government land in Saidabad Panchayat under Raghopur Block.,Shri Sanjay Yadav (2024-30),93.1,High
Bihar,Sitting Rajya Sabha,Normal/Others,WS/MP18342/2025-2026/230857,Construction of a twelve feet high roofed platform with a hand pump on the available government land in Chaksingar Panchayat under Raghopur Block.,Shri Sanjay Yadav (2024-30),WS/MP18342/2026-2027/230850,Construction of a twelve feet high roofed platform with a hand pump on the available government land in Chandpura Panchayat under Raghopur Block.,Shri Sanjay Yadav (2024-30),93.7,High
Bihar,Sitting Rajya Sabha,Normal/Others,WS/MP18342/2025-2026/230856,Construction of a 12-foot high roofed platform with a hand pump on the available government land in the Judabanpur Barari Panchayat under the Raghopur block.,Shri Sanjay Yadav (2024-30),WS/MP18342/2025-2026/230855,Construction of a 12-foot high roofed platform with a hand pump on the available government land in the Judabanpur Karari Panchayat under the Raghopur block.,Shri Sanjay Yadav (2024-30),95.4,Very High
