"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"16731","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP18158/2025-2026/219774","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","17-Mar-2026","Guru Kirpa Cement and Shuttering Store","Payment Success","14500"
"16732","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP18158/2025-2026/219774","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","17-Mar-2026","Guru Kirpa Cement and Shuttering Store","Payment Success","18520"
"16733","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP18158/2025-2026/219774","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","17-Mar-2026","Guru Kirpa Cement and Shuttering Store","Payment Success","23000"
"16734","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP18158/2025-2026/219774","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","15-Jan-2026","Guru Kirpa Cement and Shuttering Store","Payment Success","24200"
"16735","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18154/2025-2026/224964","PATHANKOT(DEPUTY COMMISSIONER PATHANKOT_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","02-Feb-2026","CHIRAG INDUSTRIES","Payment Success","194983"
"16736","Uttar Pradesh","Construction of community centers and community halls","WS/MP18392/2026-2027/287631","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","JITIN PRASADA","PILIBHIT","25-Jun-2026","R D CONTRACTOR AND SUPPLIER","Payment Success","939774"
"16737","Uttar Pradesh","Construction of community centers and community halls","WS/MP18392/2025-2026/224210","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","JITIN PRASADA","PILIBHIT","07-Aug-2026","R D CONTRACTOR AND SUPPLIER","Payment Success","816014"
"16738","Uttar Pradesh","Construction of community centers and community halls","WS/MP18392/2025-2026/224210","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","JITIN PRASADA","PILIBHIT","08-Jan-2026","R D CONTRACTOR AND SUPPLIER","Payment Success","992073"
"16739","Uttar Pradesh","Construction of community centers and community halls","WS/MP18392/2025-2026/224210","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","JITIN PRASADA","PILIBHIT","24-Mar-2026","R D CONTRACTOR AND SUPPLIER","Payment Success","627516"
"16740","Uttar Pradesh","Construction of community centers and community halls","WS/MP18392/2025-2026/255717","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","JITIN PRASADA","PILIBHIT","23-Feb-2026","ARUN KUMAR UPADHYAY","Payment Success","631171"
"16741","Uttar Pradesh","Construction of public toilets and bathrooms","WS/MP18392/2025-2026/255724","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","JITIN PRASADA","PILIBHIT","23-Feb-2026","ARUN KUMAR UPADHYAY","Payment Success","1480556"
"16742","Uttar Pradesh","Construction of community centers and community halls","WS/MP18392/2025-2026/255717","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","JITIN PRASADA","PILIBHIT","15-Jul-2026","ARUN KUMAR UPADHYAY","Payment Success","603337"
"16743","Uttar Pradesh","Construction of community centers and community halls","WS/MP18392/2025-2026/224211","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","JITIN PRASADA","PILIBHIT","15-Jul-2026","ARUN KUMAR UPADHYAY","Payment Success","1747908"
"16744","Uttar Pradesh","Construction of community centers and community halls","WS/MP18392/2025-2026/255717","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","JITIN PRASADA","PILIBHIT","08-Jan-2026","ARUN KUMAR UPADHYAY","Payment Success","1192939"
"16745","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP18158/2025-2026/194507","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","05-Feb-2026","Gurtaj Welding Works","Payment Success","46000"
"16746","Assam","Construction of community centers and community halls","WS/MP18023/2025-2026/233930","KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA)","BIJULI KALITA MEDHI","GUWAHATI","08-Jan-2026","CC Construction of Community hall at Dharapur Majarbahar pratham khel","Payment Success","360000"
"16747","West Bengal","Construction of rooms and halls in school and colleges","WS/MP823/2024-2025/139549","NADIA(DISTRICT MAGISTRATE NADIA_IDA)","Ms Mahua Moitra","KRISHNANAGAR","09-Jan-2026","MAHENDRA AGARWALA","Payment Success","712817"
"16748","West Bengal","Construction of rooms and halls in school and colleges","WS/MP823/2024-2025/139556","NADIA(DISTRICT MAGISTRATE NADIA_IDA)","Ms Mahua Moitra","KRISHNANAGAR","13-Jan-2026","DURGA DAS ROY","Payment Success","1938436"
"16749","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP243/2025-2026/211505","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Kakoli Ghosh Dastidar","BARASAT","13-Feb-2026","Afrin Engineering And Construction","Payment Success","172599"
"16750","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP243/2025-2026/211505","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Kakoli Ghosh Dastidar","BARASAT","07-Jan-2026","Afrin Engineering And Construction","Payment Success","172599"
"16751","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP021/2025-2026/175486","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","07-Jan-2026","Lalit mohan","Payment Success","20200"
