"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"3251","Rajasthan","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18169/2026-2027/229775","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","MAHIMA KUMARI MEWAR","RAJSAMAND","20-Aug-2026","TANISHKA PRAKASHAN","Payment Success","4000000"
"3252","Uttarakhand","Development of public parks","WS/MP477/2026-2027/279797","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta","ALMORA(SC)","24-Aug-2026","SHANKER NATH","Payment Success","2400"
"3253","Gujarat","Fitting of Sitting RCC Benches in Public Places","WS/MP18054/2026-2027/244860","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","HARIBHAI PATEL","MAHESANA","24-Aug-2026","SIX FILTERS TECHNOLOGY","Payment Success","56000"
"3254","Assam","Construction of community centers and community halls","WS/MP18022/2026-2027/265553","TINSUKIA(DC Tinsukia)","Shri Sarbananda Sonowal (18LS)","DIBRUGARH","24-Aug-2026","Raju Gogoi","Payment Success","500000"
"3255","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/208921","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","23-Aug-2026","NEELAM","Payment Success","18300"
"3256","Gujarat","Construction of community centers and community halls","WS/MP18056/2025-2026/232551","MORBI(District collector Morbi_IDA)","PARSHOTTAMBHAI RUPALA","RAJKOT","21-Aug-2026","Nanjibhai Devshibhai Makvana","Payment Success","785489"
"3257","Gujarat","Construction of community centers and community halls","WS/MP18056/2025-2026/206243","MORBI(District collector Morbi_IDA)","PARSHOTTAMBHAI RUPALA","RAJKOT","21-Aug-2026","Nanjibhai Devshibhai Makvana","Payment Success","384720"
"3258","Odisha","Construction of community centers and community halls","WS/MP18146/2025-2026/177757","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","21-Aug-2026","BABALU BEHERA","Payment Success","291000"
"3259","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP578/2025-2026/254137","NARMADA(DISTRICT COLLECTOR NARMADA_IDA)","Mansukhbhai Dhanjibhai Vasava","BHARUCH","24-Aug-2026","KEVDI GROUP GRAM PANCHAYAT","Payment Success","200000"
"3260","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18328/2025-2026/242407","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","21-Aug-2026","Munshi Ram","Payment Success","300000"
"3261","Bihar","Construction of public staircase/ stair ghat for public convenience","WS/MP18042/2025-2026/259638","SAMASTIPUR(DISTRICT PLANNING OFFICER SAMASTIPUR_IDA)","SHAMBHAVI","SAMASTIPUR(SC)","21-Aug-2026","RAJEEV KUMAR SINGH","Payment Success","999370"
"3262","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18324/2025-2026/219922","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","BHARATBHAI MANUBHAI SUTARIYA","AMRELI","21-Aug-2026","GRAM PANCHAYAT HAMAPUR","Payment Success","499262"
"3263","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP577/2025-2026/161809","Dahod(DISTRICT COLLECTOR DOHAD_IDA)","Jaswantsinh Sumanbhai Bhabhor","DAHOD(ST)","26-Aug-2026","GRUP GRAMPANCHAYAT SANJELI","Payment Success","227240"
"3264","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP577/2025-2026/199271","Dahod(DISTRICT COLLECTOR DOHAD_IDA)","Jaswantsinh Sumanbhai Bhabhor","DAHOD(ST)","23-Aug-2026","GRUP GRAMPANCHAYAT SANJELI","Payment Success","292453"
"3265","Tamil Nadu","Construction of buildings for crèches and anganwadies","WS/MP18181/2026-2027/305122","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","ESWARASAMY K","POLLACHI","22-Aug-2026","Raju S","Payment Success","1500000"
"3266","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP640/2026-2027/163384","DINDORI(District Collector Dindori_IDA)","Faggan Singh Kulaste","MANDLA(ST)","24-Aug-2026","MANISH CONSTRUCTION AND VENDORS","Payment Success","200000"
"3267","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP640/2026-2027/163384","DINDORI(District Collector Dindori_IDA)","Faggan Singh Kulaste","MANDLA(ST)","19-Aug-2026","MANISH CONSTRUCTION AND VENDORS","Payment Success","300000"
"3268","Punjab","Construction of public toilets and bathrooms","WS/MP18158/2025-2026/201323","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","21-Aug-2026","SHREE BALAJI ENTERPRISES","Payment Success","11092"
"3269","Punjab","Construction of public toilets and bathrooms","WS/MP18158/2025-2026/201323","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","21-Aug-2026","NEW MAHA LUXMI BRICKS","Payment Success","2448"
"3270","Punjab","Construction of public toilets and bathrooms","WS/MP18158/2025-2026/201323","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","21-Aug-2026","NEW MAHA LUXMI BRICKS","Payment Success","38361"
"3271","Punjab","Construction of public toilets and bathrooms","WS/MP18158/2025-2026/201323","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","19-Aug-2026","yuvraj electrical","Payment Success","1984"
"3272","Punjab","Construction of public toilets and bathrooms","WS/MP18158/2025-2026/201323","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","19-Aug-2026","yuvraj electrical","Payment Success","3635"
"3273","Punjab","Street lights","WS/MP18154/2026-2027/292663","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","20-Aug-2026","SHUBH ENTERPRISES","Payment Success","300000"
"3274","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18154/2026-2027/299572","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","27-Aug-2026","KHEHRA TRADING COMPANY","Payment Success","178830"
"3275","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18154/2026-2027/276103","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","20-Aug-2026","SB TRADING COMPANY","Payment Success","251900"
"3276","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18154/2026-2027/277870","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","20-Aug-2026","NAHAR TRADING","Payment Success","175600"
"3277","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18154/2026-2027/299572","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","27-Aug-2026","Rajindera BKO","Payment Success","319800"
"3278","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18390/2026-2027/148734","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","AFZAL ANSARI","GHAZIPUR","24-Aug-2026","BDO Saidpur","Payment Success","299793"
"3279","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18390/2026-2027/148735","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","AFZAL ANSARI","GHAZIPUR","24-Aug-2026","BDO Saidpur","Payment Success","299486"
"3280","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP453/2026-2027/270689","RAYAGADA(DISTRICT COLLECTOR RAYAGADA_IDA)","Saptagiri Sankar Ulaka","KORAPUT(ST)","20-Aug-2026","Junior Engineer III","Payment Success","250000"
"3281","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP453/2026-2027/263161","RAYAGADA(DISTRICT COLLECTOR RAYAGADA_IDA)","Saptagiri Sankar Ulaka","KORAPUT(ST)","20-Aug-2026","Junior Engineer III","Payment Success","250000"
"3282","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18156/2025-2026/213063","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","CHARANJIT SINGH CHANNI","JALANDHAR(SC)","31-Aug-2026","SOM NATH","Payment Success","26227"
"3283","Jammu And Kashmir","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP600/2026-2027/274178","KATHUA(DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA)","Jitendra Singh","UDHAMPUR","21-Aug-2026","SAROJ BALA","Payment Success","202000"
"3284","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP577/2024-2025/133597","Dahod(DISTRICT COLLECTOR DOHAD_IDA)","Jaswantsinh Sumanbhai Bhabhor","DAHOD(ST)","20-Aug-2026","GRAM PANCHAYAT NIMACH","Payment Success","249291"
"3285","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP423/2025-2026/201433","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Shri Abhishek Banerjee","DIAMOND HARBOUR","24-Aug-2026","EVEREST CONSTRUCTION","Payment Success","799755"
"3286","Odisha","Construction of boundary walls of existing public and community buildings","WS/MP18144/2026-2027/269154","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","MALVIKA DEVI","KALAHANDI","19-Aug-2026","Hareram Panda","Payment Success","500000"
"3287","Gujarat","Construction of public irrigation facilities","WS/MP577/2025-2026/133602","Dahod(DISTRICT COLLECTOR DOHAD_IDA)","Jaswantsinh Sumanbhai Bhabhor","DAHOD(ST)","20-Aug-2026","GRAM PANCHAYAT NADHELAV","Payment Success","250000"
"3288","Punjab","Street lights","WS/MP18154/2025-2026/259404","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","21-Aug-2026","M S Aulakh Contractors","Payment Success","250000"
"3289","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/270073","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","21-Aug-2026","RAVINDRA KUMAR","Payment Success","3705"
"3290","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/270073","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","21-Aug-2026","UMESH KUMAR","Payment Success","3705"
"3291","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/270073","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","21-Aug-2026","YATENDRA KUMAR","Payment Success","9750"
"3292","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/270073","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","21-Aug-2026","YOGESH","Payment Success","3705"
"3293","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18067/2025-2026/196252","SONIPAT(DEPUTY COMMISSIONER SONEPAT_IDA)","SATPAL BRAHAMCHARI","SONEPAT","18-Aug-2026","The Devi Luxmi Co Operative Labour and Construction Society Limited","Payment Success","693442"
"3294","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18067/2025-2026/214191","SONIPAT(DEPUTY COMMISSIONER SONEPAT_IDA)","SATPAL BRAHAMCHARI","SONEPAT","18-Aug-2026","The Devi Luxmi Co Operative Labour and Construction Society Limited","Payment Success","285506"
"3295","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP568/2026-2027/291810","DURG(DISTRICT COLLECTOR DURG_IDA)","Vijay Baghel","DURG","18-Aug-2026","SARPANCH GRAM PANCHAYAT JAMGAON M","Payment Success","260000"
"3296","Chhattisgarh","Construction of common work sheds/ common covered sitting area","WS/MP568/2026-2027/291808","DURG(DISTRICT COLLECTOR DURG_IDA)","Vijay Baghel","DURG","18-Aug-2026","SARPANCH GRAM PANCHAYAT TELIGUNDRA","Payment Success","350000"
"3297","Himachal Pradesh","Construction of footpaths and pedestrian ways","WS/MP18328/2026-2027/273147","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","24-Aug-2026","GP Thali","Payment Success","80000"
"3298","Gujarat","Installing tube-wells and borewells","WS/MP578/2025-2026/224056","NARMADA(DISTRICT COLLECTOR NARMADA_IDA)","Mansukhbhai Dhanjibhai Vasava","BHARUCH","24-Aug-2026","KHOKHARAUMAR GROUP GRAM PANCHAYAT","Payment Success","100000"
"3299","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP18314/2025-2026/190974","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","19-Aug-2026","Sunil Enterprises Dirba","Payment Success","30078"
"3300","Maharashtra","Construction of community centers and community halls","WS/MP18111/2026-2027/273222","AKOLA(DISTRICT COLLECTOR AKOLA_IDA)","ANUP SANJAY DHOTRE","AKOLA","19-Aug-2026","GP KHERDA BK STHANIK VIKAS NIDHI","Payment Success","986945"
"3301","Karnataka","Construction of buildings for community cultural activities","WS/MP18077/2026-2027/256273","BELAGAVI(DEPUTY COMMISSIONER BELGAUM_IDA)","JAGADISH SHETTAR","BELGAUM","19-Aug-2026","BASAVARAJ MAHANTESH PATIL","Payment Success","375000"
"3302","Madhya Pradesh","Construction of community centers and community halls","WS/	 MP443/2026-2027/292931","RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA)","Rodmal Nagar","RAJGARH","18-Aug-2026","GP JAMONIYA JP BIAORA","Payment Success","150000"
"3303","Karnataka","Construction of buildings for community cultural activities","WS/MP18077/2026-2027/256261","BELAGAVI(DEPUTY COMMISSIONER BELGAUM_IDA)","JAGADISH SHETTAR","BELGAUM","19-Aug-2026","RAGHAVENDRA I NARAGATTI","Payment Success","375000"
"3304","Chhattisgarh","Construction of culverts and bridges","WS/MP18051/2026-2027/294537","GARIYABAND(Collectro Gariaband_IDA)","ROOP KUMARI CHOUDHARY","MAHASAMUND","24-Aug-2026","GRYGRAM PAN SENDMUDA","Payment Success","320000"
"3305","Chhattisgarh","Construction of culverts and bridges","WS/MP18051/2026-2027/294540","GARIYABAND(Collectro Gariaband_IDA)","ROOP KUMARI CHOUDHARY","MAHASAMUND","24-Aug-2026","GRAM PANCHAYAT KHOKSARA","Payment Success","320000"
"3306","Chhattisgarh","Construction of culverts and bridges","WS/MP18051/2026-2027/294539","GARIYABAND(Collectro Gariaband_IDA)","ROOP KUMARI CHOUDHARY","MAHASAMUND","24-Aug-2026","SRYGR PANCH JHIRIPANI","Payment Success","320000"
"3307","Andhra Pradesh","Construction of community centers and community halls","WS/MP18003/2025-2026/229779","Ananthapuramu(DISTRICT COLLECTOR ANANTAPUR_IDA)","AMBICA G LAKSHMINARAYANA VALMIKI","ANANTAPUR","20-Aug-2026","PUSALAPATI CHINNA KONDAIAH","Payment Success","511985"
"3308","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18062/2025-2026/228316","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","JAI PARKASH","HISAR","21-Aug-2026","The HR Co Op LC Society Ltd","Payment Success","296849"
"3309","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/203945","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","21-Aug-2026","Amir Khan","Payment Success","10056"
"3310","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/203945","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","21-Aug-2026","Chidiya Khan","Payment Success","10056"
"3311","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/270073","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","18-Aug-2026","umesh chand","Payment Success","415580"
"3312","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/270073","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","21-Aug-2026","banwari","Payment Success","3705"
"3313","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/270073","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","21-Aug-2026","BHUPENDRA KUMAR","Payment Success","9750"
"3314","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/270073","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","21-Aug-2026","DHARMENDRA KUMAR","Payment Success","3705"
"3315","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/270073","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","21-Aug-2026","GAJEBDRA","Payment Success","9750"
"3316","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/270073","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","21-Aug-2026","HARI OM","Payment Success","3705"
"3317","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/270073","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","21-Aug-2026","KELLA DEVI","Payment Success","3705"
"3318","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/270073","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","21-Aug-2026","MAHESH CHAND","Payment Success","3705"
"3319","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/270073","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","21-Aug-2026","MANJU","Payment Success","3705"
"3320","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/270073","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","21-Aug-2026","NARENDRA KUMAR","Payment Success","3705"
"3321","Andhra Pradesh","Providing supply pipelines for drinking water","WS/MP526/2024-2025/147535","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Y S Avinash Reddy","KADAPA","19-Aug-2026","MALLIBOYANA BALAKRISHNA","Payment Success","109235"
"3322","Andhra Pradesh","Installing tube-wells and borewells","WS/MP526/2026-2027/269796","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Y S Avinash Reddy","KADAPA","19-Aug-2026","MALLIBOYANA BALAKRISHNA","Payment Success","449836"
"3323","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/270073","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","21-Aug-2026","NAVNIT TIWARI","Payment Success","3705"
"3324","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/270073","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","21-Aug-2026","PAWAN DAI","Payment Success","3705"
"3325","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/270073","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","21-Aug-2026","PREETI KUMARI","Payment Success","3705"
"3326","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/270073","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","21-Aug-2026","RAMESH CHAND","Payment Success","3705"
"3327","Madhya Pradesh","Construction of community centers and community halls","WS/MP18109/2026-2027/205624","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","21-Aug-2026","Sonu Singh","Payment Success","249728"
"3328","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP791/2026-2027/252221","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Jagdambika Pal","DOMARIYAGANJ","19-Aug-2026","DDU KANYA INTER COLLEGE MITHAUWA","Payment Success","300000"
"3329","Odisha","Construction of public libraries and reading rooms","WS/MP300/2026-2027/160837","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt Aparajita Sarangi","BHUBANESWAR","19-Aug-2026","NIRANJAN BEHERA","Payment Success","343326"
"3330","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280094","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3331","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280087","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3332","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280093","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3333","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280092","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3334","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280091","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3335","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280090","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3336","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280101","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3337","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280100","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3338","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280086","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3339","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280085","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3340","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280084","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3341","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280083","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3342","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280088","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3343","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280080","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3344","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280089","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3345","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280081","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3346","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280082","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3347","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280079","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3348","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280099","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3349","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280098","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3350","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280097","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3351","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280096","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
"3352","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2026-2027/280095","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","19-Aug-2026","Naina Devi Construction","Payment Success","260852"
